Class,HMDB,KEGG,Metabolite,QC1,QC2,WT1,WT2,WT3,WT4,WT5,WT6,Vps_cKO1,Vps_cKO2,Vps_cKO3,Vps_cKO4,Vps_cKO5,Vps_cKO6
Amino Acids,HMDB0000182,C00047,Lysine,1215.4608,1198.6244,1222.6918,1290.8698,1181.5337,1354.8044,1249.4484,1172.4427,1250.7793,1094.2411,1182.7737,1032.7562,1163.5713,1273.5953
Amino Acids,HMDB0000177,C00135,Histidine,536.2,552.6373,514.4844,653.4866,591.6641,615.4552,546.9862,531.9794,523.2924,478.5597,501.2621,465.2411,562.2637,542.8231
Amino Acids,HMDB0000517,C00062,Arginine,672.4529,655.0321,738.2625,644.4957,592.4139,667.2523,688.2806,695.7736,669.1114,563.3962,629.4011,572.2876,625.7578,665.464
Amino Acids,HMDB0000214,C00077,Ornithine,45.3717,40.1392,45.1181,47.1228,41.0747,41.3953,36.513,37.8044,29.5717,46.1471,28.4516,34.3529,38.2731,42.6781
Amino Acids,HMDB0000641,C00064,Glutamine,6978.7753,7046.0219,5040.334,8297.3664,8469.9387,7895.5438,6359.4522,6048.116,6995.7937,6887.4721,7275.0111,5548.2189,6693.2884,6449.1452
Amino Acids,HMDB0000148,C00025,Glutamic acid,1075.1581,971.951,898.6498,1198.1182,963.8707,1159.0922,926.2637,1033.6473,1199.3008,1094.6754,1004.3088,955.6513,931.3458,1155.437
Peptides,HMDB0000194,C01262,Anserine,10.9938,9.8342,7.3557,11.6999,9.4797,11.1811,7.8449,6.9437,10.7808,10.1097,14.3251,14.3912,12.1674,14.0596
Peptides,HMDB0000033,C00386,Carnosine,48.6846,50.0754,44.278,45.1749,39.6599,42.4995,39.8103,30.9381,61.4,51.7435,64.7574,68.6769,66.5979,88.9823
Amino Acids,HMDB0000271,C00213,Sarcosine,69.8995,69.218,69.4237,73.5154,84.1999,99.7401,67.675,91.2018,100.7147,70.7704,68.652,67.0283,91.3339,94.1745
Amino Acids,HMDB0000056,C00099,beta-Alanine,56.2985,50.0006,86.5811,108.3842,101.8212,97.7202,74.1645,75.5933,98.3157,77.7276,88.5722,121.8903,118.4902,112.4384
Amino Acids,HMDB0000161,C00041,Alanine,9336.3337,9322.517,7830.7872,9958.4308,9264.1959,9388.2102,8813.1238,8033.6078,9751.3239,7974.0006,8703.1849,9081.5854,9543.6993,9312.4559
Amino Acids,HMDB0000092,C01026,Dimethylglycine,5.1682,4.8782,5.2189,5.8798,6.0631,6.3307,4.5966,5.0158,4.1145,4.5743,3.5833,3.6608,4.3333,4.5601
Amino Acids,HMDB0000112,C00334,GABA,210.3357,211.911,302.7861,165.547,194.4462,200.8874,221.0013,347.9648,158.1544,155.2273,170.4885,127.3152,180.1856,207.1812
Amino Acids,HMDB0000187,C00065,Serine,996.0611,1012.6906,1131.1913,1195.9375,915.8626,1011.8216,1071.3113,1127.5062,1017.0532,998.1121,1087.8295,854.7357,1093.7718,964.3311
Amino Acids,HMDB0000167,C00188,Threonine,546.814,518.5389,539.6226,560.182,470.7314,529.6852,564.0475,555.8781,609.7461,487.1427,443.6193,400.5872,559.9131,486.2769
Amino Acids,HMDB0000719,C00263,Homoserine,57.1938,50.0048,57.2493,51.2913,46.8289,44.5183,59.9803,53.266,73.936,54.729,50.56,42.0964,63.0268,50.855
Amino Acids,HMDB0000064,C00300,Creatine,2526.4975,2423.7084,2200.2259,2658.3497,2466.3668,2642.2836,2328.6864,2454.6175,2810.8441,2568.6813,2515.2938,2177.0051,2355.4999,2823.2943
Organic Acids,HMDB0000700,C01013,Hydroxypropionic acid,20.289,20.5778,36.8075,50.1313,43.7018,39.8125,30.3958,26.7239,40.2152,60.5506,37.5258,35.8405,42.6712,39.8046
Amino Acids,HMDB0001901,C02378,Aminocaproic acid,5.6172,6.1793,4.638,5.8827,6.4425,5.1377,5.069,6.0603,6.8777,5.6767,5.5018,4.2239,4.9146,6.6761
Peptides,HMDB0000721,NA,Glycylproline,0.7711,0.6797,1.0199,0.9628,0.8995,0.5936,1.0395,1.0036,1.2044,1.0668,0.7252,0.703,0.8938,0.6423
Amino Acids,HMDB0000679,C02427,Homocitrulline,1.1035,0.9927,0.6596,1.0988,0.9515,1.2515,0.7943,1.0024,1.385,1.0475,1.2116,0.8733,0.9481,0.9688
Nucleotides,HMDB0000045,C00020,AMP,1112.2863,1133.5441,566.4541,1620.9155,1619.0155,1750.8331,767.7487,900.0098,1224.1445,1135.9287,1227.0417,1038.0862,1050.4769,1350.3643
Organic Acids,HMDB0000190,C00186,Lactic acid,17673.4615,16321.4037,15021.3977,19675.4019,17555.0044,16707.3731,14961.076,12756.2544,19925.4072,16937.0676,17146.4795,17208.386,16531.4012,16553.6031
Pyridines,HMDB0001488,C00253,Nicotinic acid,1.7697,1.9259,0.6023,0.9654,3.1864,0.3687,2.3568,1.0788,4.2928,3.1451,0.836,0.7296,1.1052,2.762
Amino Acids,HMDB0002108,NA,Methylcysteine,1.3515,1.2509,1.0965,0.9725,1.4629,1.0981,0.905,1.6266,1.5034,1.1901,1.7585,1.4469,0.9967,1.4835
Amino Acids,HMDB0002210,NA,2-Phenylglycine,0.1346,0.1408,0.128,0.0983,0.1126,0.1541,0.1408,0.1569,0.1286,0.1838,0.1537,0.0903,0.1287,0.1538
Amino Acids,HMDB0000158,C00082,Tyrosine,259.9597,246.8889,317.2185,270.4426,227.6114,230.2328,289.0649,295.1119,313.6564,287.2722,277.5333,269.4577,285.7318,219.5801
Phenylpropanoids,HMDB0000423,C10447,"3,4-Dihydroxyhydrocinnamic acid",2.5716,2.2459,3.5991,3.1181,2.3734,3.746,2.9406,3.4235,3.1152,3.144,2.5995,3.2413,3.2467,3.8944
Amino Acids,HMDB0000168,C00152,Asparagine,385.3248,385.8272,433.3371,418.9447,358.962,407.3534,409.8342,380.1393,429.0509,397.5664,440.4887,401.0478,418.7753,377.0804
Benzoic Acids,HMDB0001856,C00230,Protocatechuic acid,9.3898,9.221,8.1638,9.5647,9.7198,8.9572,7.2731,9.6992,10.0669,9.1941,10.7152,8.4726,8.6576,10.3211
Amino Acids,HMDB0000159,C00079,Phenylalanine,15.4009,19.8414,18.2704,21.5107,22.0332,16.1754,29.8013,21.6787,28.677,24.0985,18.9439,19.433,21.6453,20.2233
Phenylpropanoic Acids,HMDB0000755,C03672,Hydroxyphenyllactic acid,2.0832,1.7773,1.151,1.2999,3.0689,3.2383,1.9795,2.208,1.562,2.039,2.7076,3.3446,2.5019,3.588
Peptides,HMDB0000759,C02155,Glycylleucine,2.0565,2.1274,2.2323,2.4309,2.7633,1.9626,3.3122,2.3832,4.1488,2.9387,2.0172,2.0965,2.1281,2.082
Amino Acids,HMDB0000684,C00328,Kynurenine,0.7397,0.6756,0.5147,0.9282,0.5837,0.6489,0.4954,0.4674,0.5414,0.741,0.6081,0.5423,0.7734,0.4833
Amino Acids,HMDB0000191,C00049,Aspartic acid,3077.3628,3028.2217,3589.5076,2788.9391,2780.2227,2964.5411,3131.1099,3820.5779,2794.7566,2872.1823,3171.7629,3064.4269,2971.3594,3278.9583
Amino Acids,HMDB0000510,C00956,Aminoadipic acid,5.5502,5.3687,6.8901,7.0397,4.4055,5.4381,5.8262,6.0735,5.7326,5.6729,5.3411,5.3775,4.9023,5.9804
Fatty Acids,HMDB0010720,C01771,2-Butenoic acid,33.3627,36.7543,52.3706,48.9806,48.1833,64.8338,28.6428,39.2199,51.4813,40.9192,40.1482,44.8028,47.4184,53.4164
Fatty Acids,HMDB0000407,NA,2-Hydroxy-3-methylbutyric acid,11.5144,8.8034,14.6119,13.3904,17.1364,7.5044,10.949,8.0533,16.6796,16.0595,13.1103,16.7496,12.8982,12.5807
Benzoic Acids,HMDB0000500,C00156,4-Hydroxybenzoic acid,1.0536,1.0068,0.7188,0.8214,0.8831,1.0245,0.9576,0.7842,1.0577,0.9785,0.8784,0.746,1.1552,0.9969
Benzoic Acids,HMDB0000714,C01586,Hippuric acid,0.3269,0.3131,0.5731,0.2617,0.8491,0.2072,0.3681,0.0919,0.1905,0.2638,0.0997,0.2055,0.3098,0.2585
Organic Acids,HMDB0000156,C00149,Malic acid,1736.4348,1863.7895,1387.1727,1902.7704,1911.0209,2128.8825,1573.5454,1486.7144,1912.318,1512.0615,1843.6937,1767.3391,1491.9064,1646.9603
Amino Acids,HMDB0000812,C01042,N-Acetylaspartic acid,25.8436,26.4818,55.443,16.4111,14.2572,8.1236,48.0322,61.7947,20.7562,21.2995,34.9481,26.6931,22.5014,14.7121
Amino Acids,HMDB0000866,C01657,N-Acetytyrosine,0.3726,0.3037,0.1087,0.4578,0.5685,0.2488,1.5232,0.5088,1.6081,0.4806,0.1832,0.1905,0.2563,0.0726
Fatty Acids,HMDB0031158,NA,2-Methy-4-pentenoic acid,6.4824,6.1444,4.5815,6.5078,5.5037,6.3781,6.3785,7.2276,6.0329,6.1279,5.9939,5.0094,6.9434,7.9773
Fatty Acids,HMDB0001624,NA,2-Hydroxycaproic acid,1.8961,1.9034,1.3537,2.2124,3.0644,2.0564,1.579,1.0274,2.2828,0.4423,0.04423,0.9354,1.2327,1.3921
Phenylpropanoids,HMDB0041592|HMDB0002035,C05838|C00811,Coumaric acid and 4-Hydroxycinnamic acid,0.046,0.0383,0.021,0.0397,0.0642,0.0253,0.0217,0.0233,0.0343,0.0176,0.0315,0.0188,0.0073,0.0229
Indoles,HMDB0000197,C00954,Indoleacetic acid,0.1671,0.1957,0.1248,0.212,0.1352,0.1628,0.2368,0.1625,0.2196,0.2245,0.1493,0.1602,0.1743,0.2193
Organic Acids,HMDB0000134,C00122,Fumaric acid,647.6084,539.1132,496.0324,598.5135,701.8773,589.3256,515.7395,571.4506,491.2883,497.7286,611.3898,425.5733,550.5186,620.9617
Amino Acids,HMDB0013713,NA,N-Acetyltryptophan,0.417,0.3305,0.3676,0.3168,0.3335,0.4229,0.6695,0.3459,0.6704,0.501,0.4886,0.3635,0.3939,0.3751
Phenylpropanoids,HMDB0000567,C10438,Cinnamic acid,0.0738,0.0798,0.0358,0.09,0.055,0.077,0.0854,0.0491,0.105,0.0736,0.1251,0.0713,0.1026,0.0373
Phenylpropanoic Acids,HMDB0000764,C05629,Hydrocinnamic acid,0.0655,0.0649,0.1104,0.0843,0.097,0.0737,0.1626,0.0452,0.1363,0.0944,0.0552,0.0554,0.0662,0.1135
Indoles,HMDB0002302,NA,Indole-3-propionic acid,1.2188,1.3821,1.8427,0.9591,1.6916,1.0363,1.9619,0.5489,1.125,1.4578,0.7242,1.2881,1.0586,1.8959
Fatty Acids,HMDB0000784,C08261,Azelaic acid,21.5943,22.8917,31.6378,15.6544,13.088,17.9865,22.9322,22.7988,24.5916,18.197,24.6395,22.7786,17.8243,10.1767
Fatty Acids,HMDB0000792,C08277,Sebacic acid,0.1793,0.2008,0.5018,0.0749,0.0205,0.5521,0.2495,0.1805,0.1258,0.9714,0.2312,0.201,0.0889,0.3852
Organic Acids,HMDB0000695,C00233,Ketoleucine,5.1573,5.6434,6.4343,5.1596,4.1709,5.0448,5.3636,7.3395,5.4101,4.8225,4.3955,3.7932,5.665,7.0376
Organic Acids,HMDB0000491,C00671,3-Methyl-2-oxopentanoic acid,4.3447,3.01,5.3206,2.4533,1.4768,3.8762,3.7401,5.2655,3.0839,4.9466,4.1871,2.4905,4.4261,5.1622
Benzenoids,HMDB0000205,C00166,Phenylpyruvic acid,0.1107,0.1124,0.1145,0.14,0.1183,0.1227,0.1181,0.1434,0.1209,0.1292,0.1153,0.1394,0.1243,0.1253
Organic Acids,HMDB0000606,C02630,2-Hydroxyglutaric acid,7.5632,9.0961,5.8297,6.2934,8.2471,7.3782,6.1907,5.4021,9.0321,7.6615,12.9144,9.7924,7.9195,7.9122
Amino Acids,HMDB0000123,C00037,Glycine,1239.3794,1232.9492,1429.8462,1306.2069,1085.5431,1047.1162,1111.5463,1441.4771,1236.0846,1263.4247,1196.1034,1045.1794,1273.1268,1197.3274
Organic Acids,HMDB0000128,C00581,Guanidoacetic acid,253.8747,310.0355,219.5312,390.5068,253.1024,320.7676,269.9517,272.9594,348.607,223.1086,198.1103,335.2998,272.9005,207.06
Amino Acids,HMDB0000904,C00327,Citrulline,239.4627,242.691,174.8669,334.9657,302.2643,224.652,245.5813,232.0992,257.5737,254.4635,203.8497,232.6258,233.4404,247.8256
Carbohydrates,HMDB0000150,C00198,Gluconolactone,63.1757,63.0369,38.8994,57.3793,62.1818,63.3917,40.2121,51.1016,83.0169,53.7717,55.673,51.3106,61.9042,58.1478
Organic Acids,HMDB0000115,C00160,Glycolic acid,26.3075,29.0286,31.6423,20.7599,23.9552,30.2942,25.9047,17.7779,25.1659,32.9441,22.7879,20.9436,20.4999,28.8928
Amino Acids,HMDB0000452,C02356,alpha-Aminobutyric acid,12.8286,12.1256,15.5986,10.5953,5.7052,6.5293,8.1341,8.6806,9.872,11.2327,6.1783,9.554,21.1318,8.3969
Carbohydrates,HMDB0000139,C00258,Glyceric acid,5.4709,5.0161,8.0346,4.4785,5.6387,4.4048,6.7925,6.3313,5.8309,7.6806,4.917,5.1995,5.7178,6.1674
Amino Acids,HMDB0000162,C00148,Proline,433.6994,424.9717,532.1695,444.4625,395.87,392.0633,478.6328,490.3691,423.4416,415.8075,402.7307,379.2927,454.4018,426.6845
Amino Acids,HMDB0000532,NA,Acetylglycine,16.8021,18.407,15.4229,18.4738,24.1486,20.1865,15.0147,20.255,19.8317,19.8944,21.22,20.0499,12.4392,23.9866
Amino Acids,HMDB0000716,C00408,Pipecolic acid,5.8596,5.9251,5.7956,6.7144,5.2625,5.6514,5.137,6.264,6.1225,5.9123,6.5625,6.5238,5.3713,5.7752
Carbohydrates,HMDB0000613,NA,Erythronic acid,8.3204,9.1609,9.2418,9.9066,8.723,7.6468,9.0411,9.2469,9.8589,7.7143,9.3012,7.6243,8.9504,7.1778
Amino Acids,HMDB0002931,NA,N-Acetylserine,6.7111,7.1206,9.4788,6.664,5.3877,4.7841,8.6375,9.5332,5.53,5.8824,5.7892,6.099,7.3168,6.8394
Carbohydrates,HMDB0000867,C01685,Ribonic acid,40.4483,35.2454,38.4088,46.1979,44.1176,44.3779,34.2286,32.6273,60.1188,43.8633,40.3243,43.304,43.8057,44.2234
Amino Acids,HMDB0006029,NA,N-Acetylglutamine,5.2675,5.0811,3.6453,6.9741,5.5118,6.7026,5.1707,4.7233,6.8012,4.6423,5.6183,6.3498,5.0158,6.0081
Carbohydrates,HMDB0000230,C00270,N-Acetylneuraminic acid,74.3942,69.191,86.6302,79.9157,85.2367,68.4727,76.377,92.3015,93.431,73.9119,79.8028,83.168,69.3484,73.0638
SCFAs,HMDB0000042,C00033,Acetic acid,851.7241,878.8079,983.9794,1118.3023,1439.9251,824.1639,937.1879,963.2924,1241.9262,1058.167,865.3923,867.3773,877.0081,959.31
Amino Acids,HMDB0000883,C00183,Valine,553.7518,555.3467,556.3366,573.2156,419.4562,545.5856,533.5588,449.4707,629.8623,471.096,595.4054,570.3089,475.2231,490.017
Phenols,HMDB0001866,C05580,"3,4-Dihydroxymandelic acid",2.0053,2.748,2.0451,1.6621,2.2921,2.0988,2.2889,1.8664,2.1466,1.9918,2.203,1.8841,3.703,2.173
Carbohydrates,HMDB0000740,C07064,Lactulose,5.1723,5.6794,6.2921,4.8451,6.3716,3.2838,4.0745,2.8527,6.2072,6.3122,3.7164,1.9025,5.3459,2.2473
Carbohydrates,HMDB0000163,C00208,Maltose,40.1906,40.4853,42.5999,40.5368,82.4318,31.1965,38.1545,26.4861,40.3934,64.5183,52.1103,45.7502,54.9837,33.3948
Organic Acids,HMDB0000011,C01089,3-Hydroxybutyric acid,199.8352,200.2376,261.8561,214.8246,169.1047,277.6515,167.0278,271.43,149.1488,155.4247,202.73,225.6676,140.7956,198.9009
Amino Acids,HMDB0000696,C00073,Methionine,296.9317,309.3999,340.3227,315.0498,289.5619,294.459,352.4466,337.6554,361.1448,330.5582,318.4833,305.3787,343.2002,303.2187
Organic Acids,HMDB0000729,NA,alpha-Hydroxyisobutyric acid,3.8078,3.8096,3.141,3.625,2.9796,2.8055,2.9672,3.4358,4.0922,4.7271,3.637,3.9436,3.0573,6.0368
Organic Acids,HMDB0000008,C05984,2-Hydroxybutyric acid,11.6028,11.4993,10.1656,8.8518,8.9057,10.1636,13.3573,7.2964,7.9703,11.909,12.5247,16.4794,7.1566,12.9189
Fatty Acids,HMDB0000754,NA,3-Hydroxyisovaleric acid,0.2637,0.2596,0.2189,0.2331,0.2536,0.2326,0.2136,0.2842,0.2045,0.2576,0.2236,0.2066,0.2635,0.2962
Organic Acids,HMDB0000620,C02214,Glutaconic acid,0.3119,0.3091,0.2405,0.3226,0.2292,0.3924,0.2143,0.1974,0.1809,0.2618,0.1745,0.3235,0.1956,0.2517
Amino Acids,HMDB0000172,C00407,Isoleucine,275.0731,273.0471,336.145,288.1266,231.2936,279.7602,321.0942,282.8646,320.0223,303.5364,277.7393,263.9182,297.9294,276.4094
Amino Acids,HMDB0000687,C00123,Leucine,773.6027,737.2929,874.1464,791.4459,692.4017,718.0596,838.988,786.094,883.6189,830.1534,768.0123,734.9972,834.8116,734.2371
Carbohydrates,HMDB0000098,C00181,Xylose,680.9423,709.449,637.4442,693.8911,675.6145,597.6321,596.4245,611.9307,767.9869,777.8786,742.9934,696.1514,845.3337,669.7901
Carbohydrates,HMDB0000621|HMDB0001644,C00309|C00310,Ribulose and Xylulose,289.8277,291.5767,197.6398,330.5675,276.2139,274.4909,201.5516,242.5524,301.9165,313.7067,365.062,267.0397,333.0211,295.828
